subject,exp_type,experiment,r_pcs
TJ062,intracranial,pyFR,0.6628028714645059
TJ064,intracranial,pyFR,0.784252806845021
TJ065,intracranial,pyFR,0.6683632075085735
TJ066,intracranial,pyFR,0.318239525738395
TJ068,intracranial,pyFR,0.6036489392460456
TJ069,intracranial,pyFR,0.7377462374460686
TJ071,intracranial,pyFR,1.0
TJ073,intracranial,pyFR,0.42856737012377805
TJ074,intracranial,pyFR,0.5779674051295914
TJ075,intracranial,pyFR,0.6089541614934183
TJ077,intracranial,pyFR,0.6233546700585414
TJ078,intracranial,pyFR,0.3696525115058542
TJ079,intracranial,pyFR,0.43198668393963546
TJ080,intracranial,pyFR,0.4817627149870794
TJ081,intracranial,pyFR,0.5322634782217732
TJ082,intracranial,pyFR,0.026747877536954186
TJ083,intracranial,pyFR,0.38599472662699685
UP001,intracranial,pyFR,0.6699867977671048
UP002,intracranial,pyFR,0.8727868890171769
UP003,intracranial,pyFR,-0.00954016120682738
UP004,intracranial,pyFR,-0.05676519229334098
UP005,intracranial,pyFR,0.42935737662265205
UP006,intracranial,pyFR,0.70932828409113
UP007,intracranial,pyFR,0.4210729073873576
UP008,intracranial,pyFR,0.5032111315576523
UP011,intracranial,pyFR,0.48512360196198157
UP016,intracranial,pyFR,0.8563388022570135
UP017,intracranial,pyFR,0.6750811569159979
UP019,intracranial,pyFR,0.4654725658787098
UP020,intracranial,pyFR,0.7758416009008426
UP021,intracranial,pyFR,0.6680749191036696
UP022,intracranial,pyFR,0.41068736295738195
UP024,intracranial,pyFR,0.541555628267007
UP028,intracranial,pyFR,0.3219193424396074
UP029,intracranial,pyFR,-0.03729774077215159
UP034,intracranial,pyFR,0.6280487089682933
UP036,intracranial,pyFR,0.6976084014551305
UP037,intracranial,pyFR,0.9094989006322811
UP038,intracranial,pyFR,0.5401717110810201
UP040,intracranial,pyFR,0.6323862123959142
UP041,intracranial,pyFR,0.39227995150209916
UP042,intracranial,pyFR,0.8885766846764704
UP043,intracranial,pyFR,0.6722744527065172
UP044,intracranial,pyFR,0.4439561024076893
UP045,intracranial,pyFR,0.7678374858221891
UP046,intracranial,pyFR,0.38900736702785493
