subject,exp_type,experiment,tcs
R1375C,intracranial,FR1,0.7288212815990593
R1376D,intracranial,FR1,0.6338888888888888
R1377M,intracranial,FR1,0.8566132743606701
R1378T,intracranial,FR1,0.5601166855631141
R1379E,intracranial,FR1,0.6380952380952382
R1380D,intracranial,FR1,0.6748607245928674
R1381T,intracranial,FR1,0.764145171957672
R1382T,intracranial,FR1,0.7618596681096682
R1383J,intracranial,FR1,0.5867587081128748
R1384J,intracranial,FR1,0.5799321477562218
R1385E,intracranial,FR1,0.5774092025699169
R1386T,intracranial,FR1,0.6476810515873016
R1387E,intracranial,FR1,0.6299603174603174
R1390M,intracranial,FR1,0.6863653273809524
R1391T,intracranial,FR1,0.9174168556311413
R1393T,intracranial,FR1,0.5493055555555556
R1394E,intracranial,FR1,0.6015963955026455
R1395M,intracranial,FR1,0.7371051317352337
R1396T,intracranial,FR1,0.4131944444444444
R1397D,intracranial,FR1,0.6638435990338164
R1398J,intracranial,FR1,0.5202225942460317
R1401J,intracranial,FR1,0.6230442176870747
R1402E,intracranial,FR1,0.46151974678760394
R1404E,intracranial,FR1,0.6794541107041107
R1405E,intracranial,FR1,0.49637345679012346
R1406M,intracranial,FR1,0.7572222222222222
R1409D,intracranial,FR1,0.6880604288499025
R1412M,intracranial,FR1,0.5043724279835391
R1413D,intracranial,FR1,0.5736878306878307
R1414E,intracranial,FR1,0.7383621031746033
R1415T,intracranial,FR1,0.587233382936508
R1416T,intracranial,FR1,0.8956890331890331
R1420T,intracranial,FR1,0.6677083333333333
R1421M,intracranial,FR1,0.671031746031746
R1422T,intracranial,FR1,0.5260424933862434
R1423E,intracranial,FR1,0.8322530864197532
R1425D,intracranial,FR1,0.5890141231530663
R1427T,intracranial,FR1,0.5464302463409606
R1428T,intracranial,FR1,0.6067592592592592
R1431J,intracranial,FR1,0.5374128186628186
R1433E,intracranial,FR1,0.49375
R1436J,intracranial,FR1,0.43267195767195765
R1438M,intracranial,FR1,0.817687074829932
R1441T,intracranial,FR1,0.742907113462669
R1443D,intracranial,FR1,0.6513888888888889
R1446T,intracranial,FR1,0.5925925925925926
R1447M,intracranial,FR1,0.828830467372134
R1448T,intracranial,FR1,0.7988888888888889
R1449T,intracranial,FR1,0.6205935846560846
R1454M,intracranial,FR1,0.6463392857142857
R1457T,intracranial,FR1,0.5999338624338624
R1459M,intracranial,FR1,0.5709826388888889
R1460M,intracranial,FR1,0.9814814814814815
R1462M,intracranial,FR1,0.6790873015873016
R1463E,intracranial,FR1,0.6423842592592592
R1466J,intracranial,FR1,0.6619372008062484
R1467M,intracranial,FR1,0.6440746753246753
R1542J,intracranial,FR1,0.5651379407396762
R1565T,intracranial,FR1,0.911574074074074
R1569T,intracranial,FR1,0.7159412202380953
R1571T,intracranial,FR1,0.7327932098765432
R1572T,intracranial,FR1,0.5466600529100529
R1573T,intracranial,FR1,0.5671527777777777
R1030J,intracranial,IFR1,0.7769055886243387
R1686S,intracranial,IFR1,0.6852054773929773
R1710J,intracranial,IFR1,0.7633453703703704
R1720S,intracranial,IFR1,0.7468894675925926
R1721J,intracranial,IFR1,0.7597464726631393
R1724J,intracranial,IFR1,0.6987445326278661
R1725J,intracranial,IFR1,0.6736788359788359
R1729J,intracranial,IFR1,0.6946488095238095
R1730A,intracranial,IFR1,0.6283963796871406
R1733A,intracranial,IFR1,0.6522222222222223
R1739A,intracranial,IFR1,0.6718883277216611
R1740H,intracranial,IFR1,0.727064880952381
R1741A,intracranial,IFR1,0.7756332010582011
R1742J,intracranial,IFR1,0.6587991192411924
R1743H,intracranial,IFR1,0.700725946811473
R1744A,intracranial,IFR1,0.6078125
R1745H,intracranial,IFR1,0.7237962962962963
R1746A,intracranial,IFR1,0.689681673595364
R1747A,intracranial,IFR1,0.6864242919389978
R1749A,intracranial,IFR1,0.6768671143671143
R1752A,intracranial,IFR1,0.6426863662131519
LTP093,scalp,ltpFR2,0.8494957976108665
LTP106,scalp,ltpFR2,0.7220613808276075
LTP115,scalp,ltpFR2,0.6561007653198591
LTP117,scalp,ltpFR2,0.758192652275931
LTP122,scalp,ltpFR2,0.7153145223301973
LTP123,scalp,ltpFR2,0.5887587033900475
LTP133,scalp,ltpFR2,0.7690130556125505
LTP138,scalp,ltpFR2,0.644149934334992
LTP187,scalp,ltpFR2,0.8300631874280373
LTP207,scalp,ltpFR2,0.7815624753075798
LTP210,scalp,ltpFR2,0.6305141098206597
LTP228,scalp,ltpFR2,0.7403353471350429
LTP229,scalp,ltpFR2,0.6764370245608018
LTP236,scalp,ltpFR2,0.663105183366894
LTP242,scalp,ltpFR2,0.6900488695736675
LTP246,scalp,ltpFR2,0.9284726815460655
LTP249,scalp,ltpFR2,0.7939118080392024
LTP250,scalp,ltpFR2,0.7204660330954835
LTP251,scalp,ltpFR2,0.661543376655864
LTP258,scalp,ltpFR2,0.7285977230351498
LTP259,scalp,ltpFR2,0.7441542134609213
LTP260,scalp,ltpFR2,0.6712501250672798
LTP265,scalp,ltpFR2,0.8186068019170306
LTP269,scalp,ltpFR2,0.7832885296149527
LTP273,scalp,ltpFR2,0.687979316418432
LTP274,scalp,ltpFR2,0.6898942628525523
LTP278,scalp,ltpFR2,0.7813927334683127
LTP279,scalp,ltpFR2,0.8637807714966153
LTP280,scalp,ltpFR2,0.7341752247833465
LTP281,scalp,ltpFR2,0.733882485348277
LTP283,scalp,ltpFR2,0.7403622518838102
LTP285,scalp,ltpFR2,0.5991828637179891
LTP287,scalp,ltpFR2,0.6940558713785066
LTP290,scalp,ltpFR2,0.8750641956258169
LTP293,scalp,ltpFR2,0.593403263578509
LTP295,scalp,ltpFR2,0.6873832241094207
LTP296,scalp,ltpFR2,0.6247155574825325
LTP297,scalp,ltpFR2,0.6347503355816361
LTP298,scalp,ltpFR2,0.8523218288606731
LTP299,scalp,ltpFR2,0.7173644536428672
LTP300,scalp,ltpFR2,0.7105344310380781
LTP301,scalp,ltpFR2,0.5852469140068542
LTP302,scalp,ltpFR2,0.7738811447778617
LTP303,scalp,ltpFR2,0.920382116444588
LTP304,scalp,ltpFR2,0.7491300371371932
