subject,exp_type,experiment,bin,psim,irt
TJ027,intracranial,pyFR,2.0,0.28459821428571425,2805.3125
TJ027,intracranial,pyFR,3.0,0.3333333333333333,3723.8
TJ027,intracranial,pyFR,5.0,0.5238095238095238,2952.3333333333335
TJ028,intracranial,pyFR,0.0,0.0,1892.840579710145
TJ028,intracranial,pyFR,1.0,0.25,938.8
TJ028,intracranial,pyFR,2.0,0.2857142857142857,2069.764705882353
TJ028,intracranial,pyFR,3.0,0.3333333333333333,1122.6
TJ028,intracranial,pyFR,4.0,0.4,1861.5
TJ028,intracranial,pyFR,5.0,0.6139455782312925,4749.857142857143
TJ029,intracranial,pyFR,0.0,0.0,3698.6165413533836
TJ029,intracranial,pyFR,1.0,0.23225308641975306,1981.7777777777778
TJ029,intracranial,pyFR,2.0,0.2857142857142857,3989.8260869565215
TJ029,intracranial,pyFR,3.0,0.3333333333333333,3070.15
TJ029,intracranial,pyFR,4.0,0.3888888888888889,4085.6666666666665
TJ029,intracranial,pyFR,5.0,0.5634920634920635,3907.5555555555557
TJ030,intracranial,pyFR,0.0,0.0,3038.7021276595747
TJ030,intracranial,pyFR,1.0,0.24166666666666667,3262.3333333333335
TJ030,intracranial,pyFR,2.0,0.28486394557823125,3337.904761904762
TJ030,intracranial,pyFR,3.0,0.3333333333333333,1514.6666666666667
TJ030,intracranial,pyFR,4.0,0.4,5899.2
TJ030,intracranial,pyFR,5.0,0.6011904761904762,3803.25
TJ031,intracranial,pyFR,0.0,0.0,1470.0616113744077
TJ031,intracranial,pyFR,1.0,0.22624007936507937,1094.0833333333333
TJ031,intracranial,pyFR,2.0,0.2857142857142857,1008.7317073170732
TJ031,intracranial,pyFR,3.0,0.3333333333333333,1160.148148148148
TJ031,intracranial,pyFR,4.0,0.39666666666666667,695.9
TJ031,intracranial,pyFR,5.0,0.5762987012987013,2227.409090909091
TJ032,intracranial,pyFR,0.0,0.0,1991.112676056338
TJ032,intracranial,pyFR,1.0,0.2393445032333921,1261.851851851852
TJ032,intracranial,pyFR,2.0,0.2857142857142857,2157.2413793103447
TJ032,intracranial,pyFR,3.0,0.3333333333333333,1706.923076923077
TJ032,intracranial,pyFR,4.0,0.4,2578.0
TJ032,intracranial,pyFR,5.0,0.5921052631578947,2229.4210526315787
TJ033,intracranial,pyFR,0.0,0.0,2028.6666666666667
TJ033,intracranial,pyFR,1.0,0.2361111111111111,1529.5
TJ033,intracranial,pyFR,2.0,0.2857142857142857,1820.0
TJ033,intracranial,pyFR,3.0,0.3333333333333333,2704.6
TJ033,intracranial,pyFR,5.0,0.6666666666666666,790.0
TJ034,intracranial,pyFR,0.0,0.0,2002.655172413793
TJ034,intracranial,pyFR,1.0,0.2232142857142857,5623.25
TJ034,intracranial,pyFR,2.0,0.2857142857142857,3453.0
TJ034,intracranial,pyFR,3.0,0.3333333333333333,891.3333333333334
TJ034,intracranial,pyFR,5.0,0.5238095238095238,1851.6666666666667
