subject,exp_type,experiment,session,localization,montage,tcs
LTP228,scalp,ltpFR2,6,0,0,0.7843558456944943
LTP228,scalp,ltpFR2,7,0,0,0.6772882315520882
LTP228,scalp,ltpFR2,8,0,0,0.7310164996243934
LTP228,scalp,ltpFR2,9,0,0,0.6797266841345789
LTP228,scalp,ltpFR2,10,0,0,0.7660085443677173
LTP228,scalp,ltpFR2,11,0,0,0.8174520079111791
LTP228,scalp,ltpFR2,12,0,0,0.811267911204886
LTP228,scalp,ltpFR2,13,0,0,0.722066141587347
LTP228,scalp,ltpFR2,14,0,0,0.7431869655136554
LTP228,scalp,ltpFR2,15,0,0,0.7936582149791243
LTP228,scalp,ltpFR2,16,0,0,0.6796879858100507
LTP228,scalp,ltpFR2,17,0,0,0.7738903222107556
LTP228,scalp,ltpFR2,18,0,0,0.7591836300228664
LTP228,scalp,ltpFR2,19,0,0,0.750095700845843
LTP228,scalp,ltpFR2,20,0,0,0.7031831470294125
LTP228,scalp,ltpFR2,21,0,0,0.7877111264495166
LTP228,scalp,ltpFR2,22,0,0,0.7451111514443909
LTP229,scalp,ltpFR2,0,0,0,0.6894518541648449
LTP229,scalp,ltpFR2,1,0,0,0.6294304121954355
LTP229,scalp,ltpFR2,2,0,0,0.5969451237417662
LTP229,scalp,ltpFR2,3,0,0,0.7064682519012825
LTP229,scalp,ltpFR2,4,0,0,0.646113343051843
LTP229,scalp,ltpFR2,5,0,0,0.6754129996041779
LTP229,scalp,ltpFR2,6,0,0,0.6937549745023993
LTP229,scalp,ltpFR2,7,0,0,0.7143756455790711
LTP229,scalp,ltpFR2,8,0,0,0.6410840941513626
LTP229,scalp,ltpFR2,9,0,0,0.6441109306939109
LTP229,scalp,ltpFR2,10,0,0,0.6826856879748718
LTP229,scalp,ltpFR2,11,0,0,0.7089556602437576
LTP229,scalp,ltpFR2,12,0,0,0.7009350591422416
LTP229,scalp,ltpFR2,13,0,0,0.7053782395923985
LTP229,scalp,ltpFR2,14,0,0,0.6231447048238211
LTP229,scalp,ltpFR2,15,0,0,0.6787394212435486
LTP229,scalp,ltpFR2,16,0,0,0.7183408690461753
LTP229,scalp,ltpFR2,17,0,0,0.6661458795373157
LTP229,scalp,ltpFR2,18,0,0,0.6321012966676257
LTP229,scalp,ltpFR2,19,0,0,0.7414040521868551
LTP229,scalp,ltpFR2,20,0,0,0.6465526767684794
LTP229,scalp,ltpFR2,21,0,0,0.6936682274352061
LTP229,scalp,ltpFR2,22,0,0,0.7144140393738203
LTP236,scalp,ltpFR2,0,0,0,0.6117728796082766
LTP236,scalp,ltpFR2,1,0,0,0.6625241912431634
LTP236,scalp,ltpFR2,2,0,0,0.6496944002959845
LTP236,scalp,ltpFR2,3,0,0,0.6155400786288244
LTP236,scalp,ltpFR2,4,0,0,0.6884155821927336
LTP236,scalp,ltpFR2,5,0,0,0.6559057199798718
LTP236,scalp,ltpFR2,6,0,0,0.6303113036083142
LTP236,scalp,ltpFR2,7,0,0,0.6175599244291651
LTP236,scalp,ltpFR2,8,0,0,0.6615729037112444
LTP236,scalp,ltpFR2,9,0,0,0.6322715596788152
LTP236,scalp,ltpFR2,10,0,0,0.6440832144079117
LTP236,scalp,ltpFR2,11,0,0,0.6416594803040544
LTP236,scalp,ltpFR2,12,0,0,0.6899566909192919
LTP236,scalp,ltpFR2,13,0,0,0.6615382924958012
LTP236,scalp,ltpFR2,14,0,0,0.6778024424661035
LTP236,scalp,ltpFR2,15,0,0,0.6629980312412525
LTP236,scalp,ltpFR2,16,0,0,0.7095088291601234
LTP236,scalp,ltpFR2,17,0,0,0.6916742145206064
LTP236,scalp,ltpFR2,18,0,0,0.6623912307049504
LTP236,scalp,ltpFR2,19,0,0,0.6605170144726704
LTP236,scalp,ltpFR2,20,0,0,0.6881191706338653
LTP236,scalp,ltpFR2,21,0,0,0.7161498282242912
LTP236,scalp,ltpFR2,22,0,0,0.7194522345112452
LTP242,scalp,ltpFR2,0,0,0,0.61938080886262
LTP242,scalp,ltpFR2,1,0,0,0.7542925611291653
LTP246,scalp,ltpFR2,0,0,0,0.9668524850481665
LTP246,scalp,ltpFR2,1,0,0,0.9782893013069297
LTP246,scalp,ltpFR2,2,0,0,0.9657934196768876
LTP246,scalp,ltpFR2,3,0,0,0.9531870145747544
LTP246,scalp,ltpFR2,4,0,0,0.9307962308525717
LTP246,scalp,ltpFR2,5,0,0,0.9457193192848701
LTP246,scalp,ltpFR2,6,0,0,0.9433105717344137
LTP246,scalp,ltpFR2,7,0,0,0.9606513535782978
LTP246,scalp,ltpFR2,8,0,0,0.9369710842350218
LTP246,scalp,ltpFR2,9,0,0,0.9177016328897126
LTP246,scalp,ltpFR2,10,0,0,0.9359760350976131
LTP246,scalp,ltpFR2,11,0,0,0.9400004303791251
LTP246,scalp,ltpFR2,12,0,0,0.9114881102512038
LTP246,scalp,ltpFR2,13,0,0,0.9280191250932909
LTP246,scalp,ltpFR2,14,0,0,0.9246639807096443
LTP246,scalp,ltpFR2,15,0,0,0.8973266937858949
LTP246,scalp,ltpFR2,16,0,0,0.8982089132714112
LTP246,scalp,ltpFR2,17,0,0,0.9079524586180687
LTP246,scalp,ltpFR2,18,0,0,0.9286566176149714
LTP246,scalp,ltpFR2,19,0,0,0.9084548412383108
LTP246,scalp,ltpFR2,20,0,0,0.9110781362574457
LTP246,scalp,ltpFR2,21,0,0,0.8986683188117239
LTP246,scalp,ltpFR2,22,0,0,0.8584567200224096
LTP249,scalp,ltpFR2,0,0,0,0.6339499833407042
LTP249,scalp,ltpFR2,1,0,0,0.6630749567240461
LTP249,scalp,ltpFR2,2,0,0,0.6685494160945793
LTP249,scalp,ltpFR2,3,0,0,0.7042016707937578
LTP249,scalp,ltpFR2,4,0,0,0.7226813562899334
LTP249,scalp,ltpFR2,5,0,0,0.853525132937439
LTP249,scalp,ltpFR2,6,0,0,0.8508228101462447
LTP249,scalp,ltpFR2,7,0,0,0.8574242554467079
LTP249,scalp,ltpFR2,8,0,0,0.8650945082050834
LTP249,scalp,ltpFR2,9,0,0,0.8471054245982722
LTP249,scalp,ltpFR2,10,0,0,0.8423387062547157
LTP249,scalp,ltpFR2,11,0,0,0.7947583663854932
LTP249,scalp,ltpFR2,12,0,0,0.8372664898176777
LTP249,scalp,ltpFR2,13,0,0,0.8306568293833442
LTP249,scalp,ltpFR2,14,0,0,0.8357063364238727
LTP249,scalp,ltpFR2,15,0,0,0.8394321995009312
LTP249,scalp,ltpFR2,16,0,0,0.8009814037639603
LTP249,scalp,ltpFR2,17,0,0,0.7577925789993082
LTP249,scalp,ltpFR2,18,0,0,0.7704144778997809
LTP249,scalp,ltpFR2,19,0,0,0.8033784341796166
LTP249,scalp,ltpFR2,20,0,0,0.8373736105164986
LTP249,scalp,ltpFR2,21,0,0,0.8234402288591675
LTP249,scalp,ltpFR2,22,0,0,0.8203169243084193
LTP250,scalp,ltpFR2,0,0,0,0.6419145518362811
LTP250,scalp,ltpFR2,1,0,0,0.6696889839322865
LTP250,scalp,ltpFR2,2,0,0,0.6535632835444645
LTP250,scalp,ltpFR2,3,0,0,0.7108423622012715
LTP250,scalp,ltpFR2,4,0,0,0.6032638217822474
LTP250,scalp,ltpFR2,5,0,0,0.696194151292802
LTP250,scalp,ltpFR2,6,0,0,0.6839622022514589
LTP250,scalp,ltpFR2,7,0,0,0.7143060463953247
LTP250,scalp,ltpFR2,8,0,0,0.777046264880129
LTP250,scalp,ltpFR2,9,0,0,0.7409852656823183
LTP250,scalp,ltpFR2,10,0,0,0.7148290665266828
LTP250,scalp,ltpFR2,11,0,0,0.7043065863904122
LTP250,scalp,ltpFR2,12,0,0,0.7441029112423042
LTP250,scalp,ltpFR2,13,0,0,0.6955748952142375
LTP250,scalp,ltpFR2,14,0,0,0.782568717149315
LTP250,scalp,ltpFR2,15,0,0,0.7278371435323621
LTP250,scalp,ltpFR2,16,0,0,0.7100060831479932
LTP250,scalp,ltpFR2,18,0,0,0.7304208913972323
LTP250,scalp,ltpFR2,19,0,0,0.7870068853266454
LTP250,scalp,ltpFR2,20,0,0,0.7722112121696101
LTP250,scalp,ltpFR2,21,0,0,0.8270801424415237
LTP250,scalp,ltpFR2,22,0,0,0.7959256785213724
LTP251,scalp,ltpFR2,0,0,0,0.6053236840804496
LTP251,scalp,ltpFR2,1,0,0,0.6059133258084418
LTP251,scalp,ltpFR2,2,0,0,0.6438703740775932
LTP251,scalp,ltpFR2,3,0,0,0.6326926941364847
LTP251,scalp,ltpFR2,4,0,0,0.7650253784833133
LTP251,scalp,ltpFR2,5,0,0,0.6969053854531002
LTP251,scalp,ltpFR2,6,0,0,0.648597368887991
LTP251,scalp,ltpFR2,7,0,0,0.6370834948208303
LTP251,scalp,ltpFR2,8,0,0,0.6145424238022605
LTP251,scalp,ltpFR2,9,0,0,0.6531378626934627
LTP251,scalp,ltpFR2,10,0,0,0.6338199130148187
LTP251,scalp,ltpFR2,11,0,0,0.7062645805863296
LTP251,scalp,ltpFR2,12,0,0,0.6578374845848589
LTP251,scalp,ltpFR2,13,0,0,0.6267499946426006
LTP251,scalp,ltpFR2,14,0,0,0.6770162510843578
LTP251,scalp,ltpFR2,15,0,0,0.6635509501977673
LTP251,scalp,ltpFR2,16,0,0,0.7449973816195613
