subject,exp_type,experiment,pcs
R1743H,intracranial,IFR1,0.4741144527986634
R1744A,intracranial,IFR1,0.54875
R1745H,intracranial,IFR1,0.4387646447467876
R1746A,intracranial,IFR1,0.5061596907281432
R1747A,intracranial,IFR1,0.4896645463741052
R1749A,intracranial,IFR1,0.5025518925518926
R1752A,intracranial,IFR1,0.5505922461577223
LTP093,scalp,ltpFR2,0.49866645580354885
LTP106,scalp,ltpFR2,0.498691225115842
LTP115,scalp,ltpFR2,0.5063958576003671
LTP117,scalp,ltpFR2,0.4972961668503786
LTP122,scalp,ltpFR2,0.4980247395297768
LTP123,scalp,ltpFR2,0.5009403048460142
LTP133,scalp,ltpFR2,0.500979823288145
LTP138,scalp,ltpFR2,0.5056223837433803
LTP187,scalp,ltpFR2,0.5004512698757996
LTP207,scalp,ltpFR2,0.5049505739210726
LTP210,scalp,ltpFR2,0.5151325549943044
LTP228,scalp,ltpFR2,0.5102427075075356
LTP229,scalp,ltpFR2,0.4866049702720955
LTP236,scalp,ltpFR2,0.48968555231412897
LTP242,scalp,ltpFR2,0.5037849625104066
LTP246,scalp,ltpFR2,0.500424407141952
LTP249,scalp,ltpFR2,0.49116549441896457
LTP250,scalp,ltpFR2,0.5045000593354116
LTP251,scalp,ltpFR2,0.49316790909545577
LTP258,scalp,ltpFR2,0.5036927774559518
LTP259,scalp,ltpFR2,0.49476565451924204
LTP260,scalp,ltpFR2,0.5004839261678441
LTP265,scalp,ltpFR2,0.4923015298264566
LTP269,scalp,ltpFR2,0.50723221364245
LTP273,scalp,ltpFR2,0.48495340110573215
LTP274,scalp,ltpFR2,0.497805943218975
LTP278,scalp,ltpFR2,0.4913952708434911
LTP279,scalp,ltpFR2,0.5047586367226536
LTP280,scalp,ltpFR2,0.49627289177474776
LTP281,scalp,ltpFR2,0.48668038039013684
LTP283,scalp,ltpFR2,0.5011119240382412
LTP285,scalp,ltpFR2,0.5002238667174652
LTP287,scalp,ltpFR2,0.5053439111138042
LTP290,scalp,ltpFR2,0.5059100539061767
LTP293,scalp,ltpFR2,0.49970004144826125
LTP295,scalp,ltpFR2,0.4980887446538236
LTP296,scalp,ltpFR2,0.4977522759853729
LTP297,scalp,ltpFR2,0.49851595390697945
LTP298,scalp,ltpFR2,0.51046482320263
LTP299,scalp,ltpFR2,0.5017774674252667
LTP300,scalp,ltpFR2,0.4975879417119226
LTP301,scalp,ltpFR2,0.48630510306038055
LTP302,scalp,ltpFR2,0.5047279080576667
LTP303,scalp,ltpFR2,0.5037885283616771
LTP304,scalp,ltpFR2,0.4948921112934524
LTP305,scalp,ltpFR2,0.5088827200823954
LTP306,scalp,ltpFR2,0.5086687053660648
LTP307,scalp,ltpFR2,0.5051694441404907
LTP308,scalp,ltpFR2,0.550738436469966
LTP309,scalp,ltpFR2,0.454449149996574
LTP310,scalp,ltpFR2,0.5005391939537176
LTP311,scalp,ltpFR2,0.4991444757578981
LTP312,scalp,ltpFR2,0.49760205715494943
LTP313,scalp,ltpFR2,0.49060130131918156
LTP314,scalp,ltpFR2,0.4827799850166732
LTP315,scalp,ltpFR2,0.4919946194557735
LTP316,scalp,ltpFR2,0.5002845492999263
LTP317,scalp,ltpFR2,0.49838497179932
LTP318,scalp,ltpFR2,0.5016170333446985
LTP319,scalp,ltpFR2,0.49629653914156596
LTP320,scalp,ltpFR2,0.4920595601406313
LTP321,scalp,ltpFR2,0.49337619437517355
LTP322,scalp,ltpFR2,0.4993482128146192
LTP323,scalp,ltpFR2,0.5007297596046251
LTP324,scalp,ltpFR2,0.5000061447061738
LTP325,scalp,ltpFR2,0.5087493415885079
LTP326,scalp,ltpFR2,0.490642844154542
LTP327,scalp,ltpFR2,0.5023640894777083
LTP328,scalp,ltpFR2,0.5002631858087052
LTP329,scalp,ltpFR2,0.50782611769959
LTP330,scalp,ltpFR2,0.5056519736531786
LTP331,scalp,ltpFR2,0.4946249584670903
LTP334,scalp,ltpFR2,0.49942826596103496
LTP336,scalp,ltpFR2,0.4928227265093133
LTP337,scalp,ltpFR2,0.49550015009529963
LTP338,scalp,ltpFR2,0.5135868580750077
LTP339,scalp,ltpFR2,0.4988669655444492
LTP340,scalp,ltpFR2,0.4923974483319418
LTP341,scalp,ltpFR2,0.49842991296014105
LTP342,scalp,ltpFR2,0.4979413502946268
LTP343,scalp,ltpFR2,0.4961005195289655
LTP344,scalp,ltpFR2,0.4973709402100529
LTP346,scalp,ltpFR2,0.5024003120139969
LTP347,scalp,ltpFR2,0.5022372313714161
LTP348,scalp,ltpFR2,0.4953615505226456
LTP349,scalp,ltpFR2,0.5055488691232368
LTP352,scalp,ltpFR2,0.5055085634142377
LTP353,scalp,ltpFR2,0.5178309258293108
LTP354,scalp,ltpFR2,0.5007763155408652
LTP355,scalp,ltpFR2,0.5047956827707791
LTP356,scalp,ltpFR2,0.49806421360681574
LTP357,scalp,ltpFR2,0.5000795370971597
LTP358,scalp,ltpFR2,0.5018285852234063
LTP359,scalp,ltpFR2,0.49381763474162477
LTP360,scalp,ltpFR2,0.5072737841621582
LTP361,scalp,ltpFR2,0.49692174786442084
LTP362,scalp,ltpFR2,0.5030348028561801
LTP363,scalp,ltpFR2,0.512749383441566
LTP364,scalp,ltpFR2,0.49835653377924655
LTP365,scalp,ltpFR2,0.5133260626056286
LTP366,scalp,ltpFR2,0.5088657324319745
LTP367,scalp,ltpFR2,0.5044297747252433
LTP368,scalp,ltpFR2,0.49336348283390236
LTP369,scalp,ltpFR2,0.5024664514247504
LTP370,scalp,ltpFR2,0.5022370895659782
LTP371,scalp,ltpFR2,0.4974474800119252
LTP372,scalp,ltpFR2,0.4961254179550861
LTP373,scalp,ltpFR2,0.5007114173898608
LTP374,scalp,ltpFR2,0.5050706262097471
LTP375,scalp,ltpFR2,0.5038360972114654
LTP376,scalp,ltpFR2,0.4970337458891796
LTP377,scalp,ltpFR2,0.49382160923527024
LTP378,scalp,ltpFR2,0.4904596392081055
LTP379,scalp,ltpFR2,0.49971731040419326
LTP381,scalp,ltpFR2,0.4817506291705638
LTP382,scalp,ltpFR2,0.5059838612069284
LTP383,scalp,ltpFR2,0.5099921474787903
LTP384,scalp,ltpFR2,0.49922633379356396
LTP385,scalp,ltpFR2,0.4922259140832824
LTP386,scalp,ltpFR2,0.5110469644571259
LTP387,scalp,ltpFR2,0.5030142457760469
LTP388,scalp,ltpFR2,0.48215542270072786
LTP389,scalp,ltpFR2,0.50859600258224
LTP390,scalp,ltpFR2,0.5107853525835933
LTP391,scalp,ltpFR2,0.5049706202184852
LTP392,scalp,ltpFR2,0.5066293255272658
LTP393,scalp,ltpFR2,0.515719787397996
